api_name,load_group,p50,p90,p95,p99,mean,median,min,max
GET sortedIssues,1,63,97,104,110,66,63,25,111
POST issuesGetter,1,11,284,522,833,136,11,3,911
GET id_fields,1,6,35,36,36,11,6,4,36
GET sortedIssues,1-10,20,34,37,39,24,20,19,39
POST issuesGetter,1-10,185,242,419,589,157,185,3,631
GET id_fields,1-10,7,7,7,7,6,7,5,7
POST issuesGetter,10-20,11,216,230,3576,146,11,3,4330
GET sortedIssues,10-20,24,69,81,495,46,24,4,863
GET id_fields,10-20,6,26,29,34,10,6,3,56
GET id_fields,20-30,6,32,35,229,16,6,3,426
GET sortedIssues,20-30,23,101,142,235,46,23,4,875
POST issuesGetter,20-30,11,241,298,7095,227,11,2,9176
GET id_fields,30-40,6,31,36,97,17,6,3,775
GET sortedIssues,30-40,23,109,150,733,56,23,4,941
POST issuesGetter,30-40,12,252,409,1653,208,12,2,14871
GET sortedIssues,40-50,22,121,216,568,60,22,3,1371
POST issuesGetter,40-50,12,314,726,2071,206,12,2,9749
GET id_fields,40-50,5,33,54,399,23,5,3,913
POST issuesGetter,50-60,14,526,1018,2448,265,14,2,11569
GET id_fields,50-60,6,74,186,744,46,6,3,989
GET sortedIssues,50-60,31,226,588,1510,115,31,4,1876
POST issuesGetter,60-70,16,499,1060,2399,232,16,2,16385
GET id_fields,60-70,6,71,169,804,46,6,3,1209
GET sortedIssues,60-70,31,260,401,1458,113,31,4,2305
POST issuesGetter,70-80,70,1996,3260,10067,694,70,2,17238
GET id_fields,70-80,17,274,649,1044,101,17,3,2393
GET sortedIssues,70-80,95,932,1402,2128,309,95,4,3765
GET id_fields,80-90,41,478,832,1680,163,41,3,3949
POST issuesGetter,80-90,136,3060,7417,12480,1184,136,2,16062
GET sortedIssues,80-90,199,1304,1745,2404,441,199,3,3100
GET sortedIssues,90-100,891,2064,2332,2865,1052,891,8,3649
GET id_fields,90-100,88,760,1012,1985,267,88,4,3986
POST issuesGetter,90-100,571,12643,14568,19578,3803,571,3,27275
